"","A..4.."
"790","Australia:Isle Woodah"
"791","Mexico:Angeleda la Guarda Island"
"792","French Polynesia:Rimatara"
"793","Indonesia:Siau"
"794","Maldives:?"
"795","USA:Washington:San Juan Island"
"796","Bahamas:Great Inagua Island"
"797","USSR:?"
"798","USA:Alaska:Afognak Island"
"799","China:?"
"800","Honduras:Islas Santailla:West"
"801","Philippines:Mindoro"
"802","Greece:Thasos"
"803","Papua New Guinea:Nukumanu Island"
"804","USA:Alaska:Senak Island"
"805","Northern Mariana Islands:Anatahan"
"806","Indonesia:Bintan"
"807","Japan:Ishigaki Shima"
"808","Philippines:Badian Island"
"809","USSR:Ostrov Malyy Taymyr"
"810","Antarctica:Dendtler"
"811","Indonesia:Rempang"
"812","Cook Islands:Tauhunu"
"813","Canada:Axel Heiberg Island"
"814","USA:Alaska:Tanaga Island"
"815","Saudi Arabia:Jazair Farasan:North"
"816","Brazil:Ilha Caviana"
"817","USA:Pea Island"
"818","French Polynesia:Ua Huka"
"819","Antarctica:White Island"
"820","USSR:Ostrov Sal'm"
"821","USA:Maine:Mount Desert Island"
"822","Maldives:?"
"823","Indonesia:Padang:Sumatra"
"824","Indonesia:Halmahera"
"825","USA:Ocracoke Island"
"826","Finland:?"
"827","Maldives:?"
"828","Chile:Isla Navarino"
"829","Falkland Islands:Annenkov Island"
"830","Maldives:?"
"831","Papua New Guinea:Buka"
"832","Chile:Isla Reina Adelaida"
"833","USA:Alaska:Yunaska Island"
"834","Micronesia:Yap"
"835","Samoa:Upolu"
"836","Marshall Islands:Ebadon"
"837","Maldives:?"
"838","Japan:Okinawa"
"839","USSR:Ostrov Yarok"
"840","Vietnam:?"
"841","Canada:Cockburn Island"
"842","Japan:Miyake Jima"
"843","Maldives:?"
"844","Bahamas:Rum Cay"
"845","Finland:?"
"846","USA:Alaska:Kagamil Island"
"847","Antarctica:Charcot Island"
"848","Indonesia:Natuna Besar"
"849","Guinea-Bissau:?"
"850","Chile:Isla Pacheco"
"851","Paracel Islands:Tree Island"
"852","USSR:?"
"853","China:Donghai Dao"
"854","Panama:Isla Jicaron"
"855","Pakistan:Tsho Marari Lake"
"856","USSR:Ostrov Karaginskiy"
"857","USA:Alaska:?"
"858","Greenland:?"
"859","Indonesia:Moa"
"860","USSR:Ostrov Belyy"
"861","USSR:Ostrov Ogurchinskiy"
"862","Indonesia:?"
"863","Chile:Isla Capitan Aracena"
"864","Japan:Tokuno Shima"
"865","UK:Scotland:Saint Kilda"
"866","Greenland:Kuhn O"
"867","Denmark:Als"
"868","Mexico:Laguna Madre"
"869","Greenland:?"
"870","USA:Massachusettes:Martha's Vineyard"
"871","Indonesia:Togin"
"872","Chile:?"
"873","Bahamas:Long Cay"
"874","Antarctica:?"
"875","Mexico:Carmen Island"
"876","France:Ile Saint-Paul"
"877","American Samoa:Tutuila"
"878","Indonesia:Buton"
"879","Mexico:San Jose Island"
"880","Canada:New World Island"
"881","USA:Outer Island"
"882","Maldives:?"
"883","Indonesia:Sawu"
"884","Solomon Islands:Steward"
"885","California:San Clemente Island"
"886","Norway:Svalbard:Spitsbergen"
"887","Guinea-Bissau:?"
"888","Indonesia:Tahulandang"
"889","Myanmar:Bilugyun Island"
"890","USA:Alaska:Sitkalidak Island"
"891","Canada:Borden Island"
"892","Turks and Caicos:East Caicos Island"
"893","Bahrain"
"894","Solomon Islands:Arundel"
"895","Antarctica:Ross Island"
"896","Bahamas:Andros Island:Northern Bight"
